Key,LastModified,ETag,Size,StorageClass,S3Bucket,Dataset
9121ca37-9a88-5ba3-b580-345d560ae729.jpg,2021-07-23 21:08:36+00:00,"""3e9d7967719867d968d3b0b4b3f36f1e""",120473,STANDARD,tractable-images-narwhal-anonymised,Damaged
f97eb462-ec8c-50c0-9023-2849109780e2.jpg,2021-07-23 20:22:28+00:00,"""df51154e5f37c343bc581d1c676bbbae""",87048,STANDARD,tractable-images-narwhal-anonymised,Damaged
1765b182-ff27-5e16-bd8e-1540b3c4b7c8.jpg,2021-07-22 18:38:49+00:00,"""3636e55aa4c2d6ee3283877a848bbbce""",56156,STANDARD,tractable-images-narwhal-anonymised,Damaged
5ab51a86-2d8b-5a3e-b254-66c8e4bdd996.jpg,2021-07-23 20:55:54+00:00,"""6bfa2bb3e40bb4c310ce5d42e2cd1ee0""",60371,STANDARD,tractable-images-narwhal-anonymised,Damaged
3818bd4f-12b2-5b20-8a03-71246b11c3f6.jpg,2021-07-22 20:39:11+00:00,"""50aaa55941df09bd306feebfa4b3607d""",92680,STANDARD,tractable-images-narwhal-anonymised,Damaged
7459b871-1a37-5d16-8dc7-4ec8cd7aa01b.jpg,2021-07-23 22:05:52+00:00,"""ea295230756a2b1e6294fa1638437d23""",105004,STANDARD,tractable-images-narwhal-anonymised,Damaged
b110d07c-249b-5324-8106-4f84dbe3c041.jpg,2021-07-23 20:31:16+00:00,"""6a802bb478a6e8c60d32b2d6f0ff0a89""",89728,STANDARD,tractable-images-narwhal-anonymised,Damaged
5edbd55b-d93a-549f-b367-3e9ce0cd4e24.jpg,2021-07-23 18:50:30+00:00,"""b7a61015f0f8808f1f29a76d903cb9d6""",97062,STANDARD,tractable-images-narwhal-anonymised,Damaged
1931b19a-122d-5bca-9ba5-8f97cca6cc38.jpg,2021-07-22 19:11:39+00:00,"""3e51ae72485fba3542798df0a4656906""",100591,STANDARD,tractable-images-narwhal-anonymised,Damaged
6741b5db-e482-530f-8630-2b4b7630f645.jpg,2021-07-23 20:25:43+00:00,"""a3e79e68a305a19ac2c06de3412bf3a2""",75058,STANDARD,tractable-images-narwhal-anonymised,Damaged
43f8fe7e-d404-54a3-a83b-dc0be80c348a.jpg,2021-07-22 20:08:34+00:00,"""2100687ef91f787a16d63f8a66ef579e""",29384,STANDARD,tractable-images-narwhal-anonymised,Damaged
40024590-5461-5a79-89c2-78bacb8a0c4a.jpg,2021-07-22 21:13:31+00:00,"""c66cf76d6dfb30f316caf6471069c0bd""",43546,STANDARD,tractable-images-narwhal-anonymised,Damaged
8704c010-5567-55c3-b538-9b169fdd1f33.jpg,2021-07-23 19:24:38+00:00,"""244c59c8ddc1ca789fcaa74e1457b5ec""",27573,STANDARD,tractable-images-narwhal-anonymised,Damaged
f2a49be3-b418-5930-b224-acc5096a4e40.jpg,2021-07-23 22:14:46+00:00,"""51574944b2f88160734aea98e6eb94d2""",90868,STANDARD,tractable-images-narwhal-anonymised,Damaged
abd08dce-80e1-5b78-a99e-74be786351bf.jpg,2021-07-23 18:10:37+00:00,"""603067519adef31d9d04454bb942a638""",87398,STANDARD,tractable-images-narwhal-anonymised,Damaged
2e96e2e7-7647-5239-b42b-18bbcbcb0e8e.jpg,2021-07-22 21:19:28+00:00,"""a8f82aee47266e9af55c283a18556915""",76848,STANDARD,tractable-images-narwhal-anonymised,Damaged
8cd88a93-eebd-5d83-8c48-22991a7d0b2f.jpg,2021-07-23 20:26:45+00:00,"""321454daeac2dd3e6f6ddce206463626""",111804,STANDARD,tractable-images-narwhal-anonymised,Damaged
9849b0d6-c472-5aa5-bf4c-240046de80d7.jpg,2021-07-23 18:43:36+00:00,"""94d3f79f81af63826850a9171534ee9a""",118712,STANDARD,tractable-images-narwhal-anonymised,Damaged
21ef0484-6514-5aad-934f-a7f1a580bfee.jpg,2021-07-22 20:40:42+00:00,"""3032960931c3520977ac4668b534a235""",30100,STANDARD,tractable-images-narwhal-anonymised,Damaged
f0c36ddf-f2b0-59e3-95f8-e706e8ac329a.jpg,2021-07-23 20:25:57+00:00,"""6cb21f9e8ec784b27b1d5ebe236908a1""",93689,STANDARD,tractable-images-narwhal-anonymised,Damaged
10452c9d-33ed-5f96-b99e-6d46d73ac440.jpg,2021-07-22 19:07:44+00:00,"""bae77edd8f374a883748a6e3f732cc50""",109252,STANDARD,tractable-images-narwhal-anonymised,Damaged
9e05c3dd-cca9-5843-97db-2cdf2dfe5721.jpg,2021-07-23 20:56:52+00:00,"""a938ed08eb923388b1bd526510c072ba""",86264,STANDARD,tractable-images-narwhal-anonymised,Damaged
93602eca-ff93-5377-8d94-546b32918932.jpg,2021-07-23 22:05:59+00:00,"""2a01a62d257dd672b5c82ed60f4a8347""",17538,STANDARD,tractable-images-narwhal-anonymised,Damaged
80c6f42d-296c-54eb-ac21-03f013616676.jpg,2021-07-23 20:57:45+00:00,"""564bbc77a27c45479640dca58e2a02a6""",90912,STANDARD,tractable-images-narwhal-anonymised,Damaged
66c3b062-a84c-52ef-b77f-465f128bd64e.jpg,2021-07-23 21:34:28+00:00,"""e95205720b765753631629b03d7d3848""",84977,STANDARD,tractable-images-narwhal-anonymised,Damaged
8f9817bc-6f09-5ceb-95e3-54a2781770ad.jpg,2021-07-23 21:35:25+00:00,"""8efd0c2e4478d92bc9fd2f5eaa35b474""",154239,STANDARD,tractable-images-narwhal-anonymised,Damaged
35fc2560-a589-5cb4-b854-f3f648185b9a.jpg,2021-07-22 21:02:12+00:00,"""17295d4d6401d36529b1c485ed85c49f""",84718,STANDARD,tractable-images-narwhal-anonymised,Damaged
ee422fad-fed1-51f1-ad4e-e93ee3f29ab3.jpg,2021-07-23 21:36:45+00:00,"""1bc2190b82af16b6797560b69b0c6b40""",46733,STANDARD,tractable-images-narwhal-anonymised,Damaged
4b8325b3-9882-5345-ab4e-d87801ae56d2.jpg,2021-07-22 21:25:42+00:00,"""97f8c4a450079af464584bb12b23bdd0""",47339,STANDARD,tractable-images-narwhal-anonymised,Damaged
25f5740a-af7d-5d16-98b5-a03b33401096.jpg,2021-07-22 21:24:21+00:00,"""807749881a2a3ab3663ceef3e2ec19c6""",40818,STANDARD,tractable-images-narwhal-anonymised,Damaged
82d9600a-a646-5660-886f-55a13a235b33.jpg,2021-07-23 21:32:24+00:00,"""0b46bd8e21ab259438fcbb30449d0e4b""",32718,STANDARD,tractable-images-narwhal-anonymised,Damaged
afd58aa4-d42d-5fed-9157-4afdde558444.jpg,2021-07-23 19:25:14+00:00,"""bb6c5e5b826fd822074c6069c6d3bd05""",81645,STANDARD,tractable-images-narwhal-anonymised,Damaged
bdebecc2-cd2d-57eb-b561-35201e5d3333.jpg,2021-07-23 20:23:48+00:00,"""9b664594989414ab2bf53ed36b28a9c2""",84518,STANDARD,tractable-images-narwhal-anonymised,Damaged
01a1d7b5-6686-5da0-8a95-e66905bc9868.jpg,2021-07-22 16:04:02+00:00,"""2b6567509cab3a4ad9e0c9b97e07c314""",101728,STANDARD,tractable-images-narwhal-anonymised,Damaged
4f5aa4d0-b3c0-5001-8525-d6cc3b51aee4.jpg,2021-07-23 17:38:15+00:00,"""2b9e8cc9d4530dd7106da8f1ec5041db""",53573,STANDARD,tractable-images-narwhal-anonymised,Damaged
f549d3c2-fd02-57ae-921f-070930423801.jpg,2021-07-23 21:37:05+00:00,"""bb57afffd14085624f8b2fad8170ac99""",76993,STANDARD,tractable-images-narwhal-anonymised,Damaged
5e492e20-7992-5f04-aca6-3b45987f1e63.jpg,2021-07-23 22:08:45+00:00,"""419d4dbbeebd3e261154136d074e22f0""",96974,STANDARD,tractable-images-narwhal-anonymised,Damaged
96f11ba0-83bd-5b26-954d-625800586433.jpg,2021-07-23 18:48:48+00:00,"""c7aea9599459c3ef9a6dfceda7e39259""",74783,STANDARD,tractable-images-narwhal-anonymised,Damaged
8b8d7837-7d26-54e9-8ae3-06af3090aaa8.jpg,2021-07-23 17:58:05+00:00,"""5d96719c7f1be9a63295d8311c60ccee""",103434,STANDARD,tractable-images-narwhal-anonymised,Damaged
7cd46a80-118c-57a5-a905-d068e438762a.jpg,2021-07-23 19:23:40+00:00,"""3203cd830ba681fa3286f32f2452893b""",115964,STANDARD,tractable-images-narwhal-anonymised,Damaged
3441a464-ed67-528b-aabc-67be0bdb5c13.jpg,2021-07-22 20:44:53+00:00,"""2fef4fb226316df6dd6c8bb8a9e8f310""",62067,STANDARD,tractable-images-narwhal-anonymised,Damaged
6808eaa4-82ba-5a13-9675-02a94ec315c3.jpg,2021-07-23 18:11:35+00:00,"""6829772cdd047d334c7176d0eee4cba3""",71511,STANDARD,tractable-images-narwhal-anonymised,Damaged
840e16d5-3d4a-5ec5-9445-e544950b7796.jpg,2021-07-23 17:47:59+00:00,"""586ff3eaf6c5302aa7e21cf1452804a2""",116545,STANDARD,tractable-images-narwhal-anonymised,Damaged
7660f3d1-7122-53c5-b276-1c5de2c43679.jpg,2021-07-23 21:39:05+00:00,"""0346c89dc29e2dd71fcf1b9103a20d77""",73284,STANDARD,tractable-images-narwhal-anonymised,Damaged
4efa6ca7-b11b-5ec1-993f-f14f7e882af3.jpg,2021-07-23 18:38:31+00:00,"""63565bdad2055377aae4f7bae5c5463a""",33558,STANDARD,tractable-images-narwhal-anonymised,Damaged
655032cd-eff9-539d-bd50-4de90ec26670.jpg,2021-07-23 20:27:40+00:00,"""433c86eb38f8a5b96cb434596ca89d9c""",49439,STANDARD,tractable-images-narwhal-anonymised,Damaged
8650d86d-3b68-568c-bda5-173368a0e17f.jpg,2021-07-23 22:13:08+00:00,"""82b9f9c70a84f1a2089affdf83c2ed2b""",80372,STANDARD,tractable-images-narwhal-anonymised,Damaged
6739bc89-29d1-5dc3-885c-7ba0eace141f.jpg,2021-07-23 18:01:32+00:00,"""8d33b2f6b0c343e9066f7f74aa764672""",85418,STANDARD,tractable-images-narwhal-anonymised,Damaged
073c41e6-9b00-501e-8152-df6c6a637ccf.jpg,2021-07-22 17:18:39+00:00,"""33409dea82c6cb3a9c8f4df599397f0c""",100111,STANDARD,tractable-images-narwhal-anonymised,Damaged
3757a0b8-65ec-5fe6-988e-a14c3916286e.jpg,2021-07-22 21:21:57+00:00,"""958132240683656b215d8d89cb95d69e""",90935,STANDARD,tractable-images-narwhal-anonymised,Damaged
89713d3c-de28-54c3-867a-53e8d1b84a49.jpg,2021-07-23 19:18:55+00:00,"""35632a92a622b9e3878df53a526d2d0a""",69364,STANDARD,tractable-images-narwhal-anonymised,Damaged
14009a47-3f6e-5e40-a462-328d87bbb3f2.jpg,2021-07-22 18:07:06+00:00,"""517651a0b3314199a6fae3e328477dfc""",26073,STANDARD,tractable-images-narwhal-anonymised,Damaged
